image name,color,good part, no hole, have pin, broken tooth
image_273,s,0,1,0,0
image_274,s,0,1,0,0
image_275,s,0,1,0,0
image_276,r,0,1,0,0
image_277,r,0,1,0,0
image_278,r,0,1,0,0
image_279,r,0,1,0,0
image_280,r,0,1,0,0
image_281,b,0,1,0,0
image_282,b,0,1,0,0
image_283,b,0,1,0,0
image_284,b,0,1,0,0
image_285,b,0,1,0,0
image_286,s,0,1,0,0
image_287,s,0,1,0,0
image_288,s,0,1,0,0
image_289,s,0,1,0,0
image_290,s,0,1,0,0
image_291,r,0,1,0,0
image_292,r,0,1,0,0
image_293,r,0,1,0,0
image_294,r,0,1,0,0
image_295,r,0,1,0,0
image_296,b,0,1,0,0
image_297,b,0,1,0,0
image_298,b,0,1,0,0
image_299,b,0,1,0,0
image_300,b,0,1,0,0
image_301,s,0,1,0,0
image_302,s,0,1,0,0
image_303,s,0,1,0,0
image_304,s,0,1,0,0
image_305,s,0,1,0,0
image_306,r,0,1,0,0
image_307,r,0,1,0,0
image_308,r,0,1,0,0
image_309,r,0,1,0,0
image_310,r,0,1,0,0
image_311,b,0,1,0,0
image_312,b,0,1,0,0
image_313,b,0,1,0,0
image_314,b,0,1,0,0
image_315,b,0,1,0,0
image_316,s,0,1,0,0
image_317,s,0,1,0,0
image_318,s,0,1,0,0
image_319,s,0,1,0,0
image_320,s,0,1,0,0
image_321,r,0,1,0,0
image_322,r,0,1,0,0
image_323,r,0,1,0,0
image_324,r,0,1,0,0
image_325,r,0,1,0,0
image_326,b,0,1,0,0
image_327,b,0,1,0,0
image_328,b,0,1,0,0
image_329,b,0,1,0,0
image_330,b,0,1,0,0
image_331,s,0,1,0,0
image_332,s,0,1,0,0
image_333,s,0,1,0,0
image_334,s,0,1,0,0
image_335,s,0,1,0,0
image_336,r,0,1,0,0
image_337,r,0,1,0,0
image_338,r,0,1,0,0
image_339,r,0,1,0,0
image_340,r,0,1,0,0
image_341,b,0,1,0,0
image_342,b,0,1,0,0
image_343,b,0,1,0,0
image_344,b,0,1,0,0
image_345,b,0,1,0,0
image_346,s,0,1,0,0
image_347,s,0,1,0,0
image_348,s,0,1,0,0
image_349,s,0,1,0,0
image_350,s,0,1,0,0
image_351,r,0,1,0,0
image_352,r,0,1,0,0
image_353,r,0,1,0,0
image_354,r,0,1,0,0
image_355,r,0,1,0,0
image_356,b,0,1,0,0
image_357,b,0,1,0,0
image_358,b,0,1,0,0
image_359,b,0,1,0,0
image_360,b,0,1,0,0
image_361,r,0,0,1,0
image_362,r,0,0,1,0
image_363,r,0,0,1,0
image_364,r,0,0,1,0
image_365,r,0,0,1,0
image_366,b,0,0,1,0
image_367,b,0,0,1,0
image_368,b,0,0,1,0
image_369,b,0,0,1,0
image_370,b,0,0,1,0
image_371,s,0,0,1,0
image_372,s,0,0,1,0
image_373,s,0,0,1,0
image_374,s,0,0,1,0
image_375,s,0,0,1,0
image_376,r,0,0,1,0
image_377,r,0,0,1,0
image_378,r,0,0,1,0
image_379,r,0,0,1,0
image_380,r,0,0,1,0
image_381,b,0,0,1,0
image_382,b,0,0,1,0
image_383,b,0,0,1,0
image_384,b,0,0,1,0
image_385,b,0,0,1,0
image_386,s,0,0,1,0
image_387,s,0,0,1,0
image_388,s,0,0,1,0
image_389,s,0,0,1,0
image_390,s,0,0,1,0
image_391,r,0,0,1,0
image_392,r,0,0,1,0
image_393,r,0,0,1,0
image_394,r,0,0,1,0
image_395,r,0,0,1,0
image_396,b,0,0,1,0
image_397,b,0,0,1,0
image_398,b,0,0,1,0
image_399,b,0,0,1,0
image_400,b,0,0,1,0
image_401,s,0,0,1,0
image_402,s,0,0,1,0
image_403,s,0,0,1,0
image_404,s,0,0,1,0
image_405,s,0,0,1,0
image_406,r,0,0,1,0
image_407,r,0,0,1,0
image_408,r,0,0,1,0
image_409,r,0,0,1,0
image_410,r,0,0,1,0
image_411,b,0,0,1,0
image_412,b,0,0,1,0
image_413,b,0,0,1,0
image_414,b,0,0,1,0
image_415,b,0,0,1,0
image_416,s,0,0,1,0
image_417,s,0,0,1,0
image_418,s,0,0,1,0
image_419,s,0,0,1,0
image_420,s,0,0,1,0
image_421,r,0,0,1,0
image_422,r,0,0,1,0
image_423,r,0,0,1,0
image_424,r,0,0,1,0
image_425,r,0,0,1,0
image_426,b,0,0,1,0
image_427,b,0,0,1,0
image_428,b,0,0,1,0
image_429,b,0,0,1,0
image_430,b,0,0,1,0
image_431,s,0,0,1,0
image_432,s,0,0,1,0
image_433,s,0,0,1,0
image_434,s,0,0,1,0
image_435,s,0,0,1,0
image_436,r,0,0,1,0
image_437,r,0,0,1,0
image_438,r,0,0,1,0
image_439,r,0,0,1,0
image_440,r,0,0,1,0
image_441,b,0,0,1,0
image_442,b,0,0,1,0
image_443,b,0,0,1,0
image_444,b,0,0,1,0
image_445,b,0,0,1,0
image_446,s,0,0,1,0
image_447,s,0,0,1,0
image_448,s,0,0,1,0
image_449,s,0,0,1,0
image_450,s,0,0,1,0
image_451,b,0,0,1,0
image_452,b,0,0,1,0
image_453,b,0,0,1,0
image_454,b,0,0,1,0
image_455,b,0,0,1,0
image_456,r,0,0,1,0
image_457,r,0,0,1,0
image_458,r,0,0,1,0
image_459,r,0,0,1,0
image_460,r,0,0,1,0
image_461,s,0,0,1,0
image_462,s,0,0,1,0
image_463,s,0,0,1,0
image_464,s,0,0,1,0
image_465,s,0,0,1,0
image_466,b,0,0,1,0
image_467,b,0,0,1,0
image_468,b,0,0,1,0
image_469,b,0,0,1,0
image_470,b,0,0,1,0
image_471,r,0,0,1,0
image_472,r,0,0,1,0
image_473,r,0,0,1,0
image_474,r,0,0,1,0
image_475,r,0,0,1,0
image_476,s,0,0,1,0
image_477,s,0,0,1,0
image_478,s,0,0,1,0
image_479,s,0,0,1,0
image_480,s,0,0,1,0
image_481,b,0,0,1,0
image_482,b,0,0,1,0
image_483,b,0,0,1,0
image_484,b,0,0,1,0
image_485,b,0,0,1,0
image_486,r,0,0,1,0
image_487,r,0,0,1,0
image_488,r,0,0,1,0
image_489,r,0,0,1,0
image_490,r,0,0,1,0
image_491,s,0,0,1,0
image_492,s,0,0,1,0
image_493,s,0,0,1,0
image_494,s,0,0,1,0
image_495,s,0,0,1,0
image_496,b,0,0,1,0
image_497,b,0,0,1,0
image_498,b,0,0,1,0
image_499,b,0,0,1,0
image_500,b,0,0,1,0
image_501,r,0,0,1,0
image_502,r,0,0,1,0
image_503,r,0,0,1,0
image_504,r,0,0,1,0
image_505,r,0,0,1,0
image_506,s,0,0,1,0
image_507,s,0,0,1,0
image_508,s,0,0,1,0
image_509,s,0,0,1,0
image_510,s,0,0,1,0
image_511,b,0,0,1,0
image_512,b,0,0,1,0
image_513,b,0,0,1,0
image_514,b,0,0,1,0
image_515,b,0,0,1,0
image_516,r,0,0,1,0
image_517,r,0,0,1,0
image_518,r,0,0,1,0
image_519,r,0,0,1,0
image_520,r,0,0,1,0
image_521,s,0,0,1,0
image_522,s,0,0,1,0
image_523,s,0,0,1,0
image_524,s,0,0,1,0
image_525,s,0,0,1,0
image_526,b,0,0,1,0
image_527,b,0,0,1,0
image_528,b,0,0,1,0
image_529,b,0,0,1,0
image_530,b,0,0,1,0
image_531,r,0,0,1,0
image_532,r,0,0,1,0
image_533,r,0,0,1,0
image_534,r,0,0,1,0
image_535,r,0,0,1,0
image_536,s,0,0,1,0
image_537,s,0,0,1,0
image_538,s,0,0,1,0
image_539,s,0,0,1,0
image_540,s,0,0,1,0
image_541,s,0,0,0,1
image_542,b,0,0,0,1
image_543,r,0,0,0,1
image_544,s,0,0,0,1
image_545,b,0,0,0,1
image_546,r,0,0,0,1
image_547,s,0,0,0,1
image_548,b,0,0,0,1
image_549,r,0,0,0,1
image_550,s,0,0,0,1
image_551,b,0,0,0,1
image_552,r,0,0,0,1
image_553,s,0,0,0,1
image_554,b,0,0,0,1
image_555,r,0,0,0,1
image_556,s,0,0,0,1
image_557,b,0,0,0,1
image_558,r,0,0,0,1
image_559,s,0,0,0,1
image_560,b,0,0,0,1
image_561,r,0,0,0,1
image_562,s,0,0,0,1
image_563,b,0,0,0,1
image_564,r,0,0,0,1
image_565,s,0,0,0,1
image_566,b,0,0,0,1
image_567,r,0,0,0,1
image_568,s,0,0,0,1
image_569,b,0,0,0,1
image_570,r,0,0,0,1
image_571,s,0,0,0,1
image_572,b,0,0,0,1
image_573,r,0,0,0,1
image_574,s,0,0,0,1
image_575,b,0,0,0,1
image_576,r,0,0,0,1
image_577,s,0,0,0,1
image_578,b,0,0,0,1
image_579,r,0,0,0,1
image_580,s,0,0,0,1
image_581,b,0,0,0,1
image_582,r,0,0,0,1
image_583,s,0,0,0,1
image_584,b,0,0,0,1
image_585,r,0,0,0,1
image_586,s,0,0,0,1
image_587,b,0,0,0,1
image_588,r,0,0,0,1
image_589,s,0,0,0,1
image_590,b,0,0,0,1
image_591,r,0,0,0,1
image_592,s,0,0,0,1
image_593,b,0,0,0,1
image_594,r,0,0,0,1
image_595,s,0,0,0,1
image_596,b,0,0,0,1
image_597,r,0,0,0,1
image_598,s,0,0,0,1
image_599,b,0,0,0,1
image_600,r,0,0,0,1
image_601,s,0,0,0,1
image_602,b,0,0,0,1
image_603,r,0,0,0,1
image_604,s,0,0,0,1
image_605,b,0,0,0,1
image_606,r,0,0,0,1
image_607,s,0,0,0,1
image_608,b,0,0,0,1
image_609,r,0,0,0,1
image_610,s,0,0,0,1
image_611,b,0,0,0,1
image_612,r,0,0,0,1
image_613,s,0,0,0,1
image_614,b,0,0,0,1
image_615,r,0,0,0,1
image_616,s,0,0,0,1
image_617,b,0,0,0,1
image_618,r,0,0,0,1
image_619,s,0,0,0,1
image_620,b,0,0,0,1
image_621,r,0,0,0,1
image_622,s,0,0,0,1
image_623,b,0,0,0,1
image_624,r,0,0,0,1
image_625,s,0,0,0,1
image_626,b,0,0,0,1
image_627,r,0,0,0,1
image_628,s,0,0,0,1
image_629,b,0,0,0,1
image_630,r,0,0,0,1
